NÚMERO DE TICKET;ITEM;IDESTILO;ESTILO;FECHA DE VENTA;CANTIDAD;IDTAMAÑO;TAMAÑO;PRECIO DE LISTA;PRECIO DE VENTA;COSTO UNITARIO;TIPO DE CALZADO;IDLOCAL;LOCAL;TIPO DE LOCAL;IDCIUDAD;CIUDAD;ESTADO;PAÍS;MONTO VENDIDO;COSTO DE VENTA;UTILIDAD
41453;1;U001;RELAX UNIVERSE;19/10/2020;1;27M;27 Y MEDIO; $1.026,00 ; $1.026,00 ; $424,00 ;UNISEX;13;ANDARES;PREMIUM;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.026,00 ; $424,00 ; $602,00 
41458;1;D003;MERLE POINT;19/10/2020;1;22M;22 Y MEDIO; $1.357,00 ; $1.357,00 ; $442,00 ;DAMA;1;NUEVO SUR;PREMIUM;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.357,00 ; $442,00 ; $915,00 
41464;1;D003;MERLE POINT;19/10/2020;1;22N;22 NORMAL; $1.357,00 ; $1.357,00 ; $442,00 ;DAMA;6;PERISUR;PREMIUM;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.357,00 ; $442,00 ; $915,00 
41472;1;U002;MINIMAL ECHO;19/10/2020;1;18N;18 NORMAL; $1.144,00 ; $1.144,00 ; $460,00 ;UNISEX;1;NUEVO SUR;PREMIUM;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.144,00 ; $460,00 ; $684,00 
41484;1;C003;CONFORT NEW YORK;19/10/2020;1;27N;27 NORMAL; $1.479,00 ; $1.479,00 ; $396,00 ;CABALLERO;11;ARAGON;POPULAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.479,00 ; $396,00 ; $1.083,00 
41485;1;C003;CONFORT NEW YORK;19/10/2020;1;27M;27 Y MEDIO; $1.681,00 ; $1.681,00 ; $396,00 ;CABALLERO;4;PLAZA FIESTA;ESTÁNDAR;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.681,00 ; $396,00 ; $1.285,00 
41488;1;S003;ULTRA-ALIVE;19/10/2020;1;19M;19 Y MEDIO; $1.738,00 ; $1.738,00 ; $388,00 ;DEPORTIVO;7;UNIVERSIDAD;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.738,00 ; $388,00 ; $1.350,00 
41494;1;U002;MINIMAL ECHO;19/10/2020;1;30N;30 NORMAL; $1.069,00 ; $1.069,00 ; $460,00 ;UNISEX;8;BUENAVISTA;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.069,00 ; $460,00 ; $609,00 
41523;1;U002;MINIMAL ECHO;19/10/2020;1;30N;30 NORMAL; $1.144,00 ; $1.144,00 ; $460,00 ;UNISEX;18;LORETO;PREMIUM;PUE;PUEBLA;PUEBLA;MÉXICO; $1.144,00 ; $460,00 ; $684,00 
41525;1;D007;REFLEXION EDGE;19/10/2020;1;21M;21 Y MEDIO; $1.128,00 ; $1.128,00 ; $387,00 ;DAMA;1;NUEVO SUR;PREMIUM;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.128,00 ; $387,00 ; $741,00 
41527;1;D002;TANGERINE;19/10/2020;1;24N;24 NORMAL; $1.678,00 ; $1.678,00 ; $386,00 ;DAMA;9;PEDREGAL;PREMIUM;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.678,00 ; $386,00 ; $1.292,00 
41528;2;C002;CONFORT MILAN;20/10/2020;1;19M;19 Y MEDIO; $1.844,00 ; $1.844,00 ; $420,00 ;CABALLERO;2;CITADEL;ESTÁNDAR;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.844,00 ; $420,00 ; $1.424,00 
41528;1;D007;REFLEXION EDGE;20/10/2020;1;25N;25 NORMAL; $1.064,00 ; $1.064,00 ; $387,00 ;DAMA;2;CITADEL;ESTÁNDAR;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.064,00 ; $387,00 ; $677,00 
41563;1;D003;MERLE POINT;20/10/2020;1;19M;19 Y MEDIO; $1.212,00 ; $1.212,00 ; $442,00 ;DAMA;4;PLAZA FIESTA;ESTÁNDAR;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.212,00 ; $442,00 ; $770,00 
41571;1;S002;CITUAN;20/10/2020;1;21M;21 Y MEDIO; $2.030,00 ; $2.030,00 ; $394,00 ;DEPORTIVO;1;NUEVO SUR;PREMIUM;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $2.030,00 ; $394,00 ; $1.636,00 
41588;1;D004;PANAMA;20/10/2020;1;25M;25 Y MEDIO; $1.591,00 ; $1.591,00 ; $421,00 ;DAMA;14;PABELLON;ESTÁNDAR;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.591,00 ; $421,00 ; $1.170,00 
41612;1;D003;MERLE POINT;20/10/2020;1;23M;23 Y MEDIO; $1.357,00 ; $1.357,00 ; $442,00 ;DAMA;18;LORETO;PREMIUM;PUE;PUEBLA;PUEBLA;MÉXICO; $1.357,00 ; $442,00 ; $915,00 
41623;1;D007;REFLEXION EDGE;20/10/2020;1;18M;18 Y MEDIO; $1.128,00 ; $1.128,00 ; $387,00 ;DAMA;18;LORETO;PREMIUM;PUE;PUEBLA;PUEBLA;MÉXICO; $1.128,00 ; $387,00 ; $741,00 
41625;1;S001;RAPTOR;21/10/2020;1;18N;18 NORMAL; $1.524,00 ; $1.524,00 ; $434,00 ;DEPORTIVO;16;TLAQUEPAQUE;POPULAR;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.524,00 ; $434,00 ; $1.090,00 
41640;1;S002;CITUAN;21/10/2020;1;20M;20 Y MEDIO; $1.862,00 ; $1.862,00 ; $394,00 ;DEPORTIVO;15;CENTRO MAGNO;ESTÁNDAR;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.862,00 ; $394,00 ; $1.468,00 
41642;1;C002;CONFORT MILAN;21/10/2020;1;25M;25 Y MEDIO; $2.102,00 ; $2.102,00 ; $420,00 ;CABALLERO;6;PERISUR;PREMIUM;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $2.102,00 ; $420,00 ; $1.682,00 
41661;1;S002;CITUAN;21/10/2020;1;24M;24 Y MEDIO; $1.862,00 ; $1.862,00 ; $394,00 ;DEPORTIVO;15;CENTRO MAGNO;ESTÁNDAR;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.862,00 ; $394,00 ; $1.468,00 
41699;1;C001;COMFORT VERONA;21/10/2020;1;22N;22 NORMAL; $1.296,00 ; $1.296,00 ; $393,00 ;CABALLERO;13;ANDARES;PREMIUM;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.296,00 ; $393,00 ; $903,00 
41707;1;S002;CITUAN;21/10/2020;1;21N;21 NORMAL; $1.862,00 ; $1.862,00 ; $394,00 ;DEPORTIVO;7;UNIVERSIDAD;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.862,00 ; $394,00 ; $1.468,00 
41715;1;C004;MIRIDIA;22/10/2020;1;28N;28 NORMAL; $1.048,00 ; $974,00 ; $392,00 ;CABALLERO;14;PABELLON;ESTÁNDAR;GDL;GUADALAJARA;JALISCO;MÉXICO; $974,00 ; $392,00 ; $582,00 
41718;1;C002;CONFORT MILAN;22/10/2020;1;24N;24 NORMAL; $2.102,00 ; $2.102,00 ; $420,00 ;CABALLERO;13;ANDARES;PREMIUM;GDL;GUADALAJARA;JALISCO;MÉXICO; $2.102,00 ; $420,00 ; $1.682,00 
41722;1;D002;TANGERINE;22/10/2020;1;22M;22 Y MEDIO; $1.678,00 ; $1.678,00 ; $386,00 ;DAMA;9;PEDREGAL;PREMIUM;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.678,00 ; $386,00 ; $1.292,00 
41726;1;D001;SPLEND MARNA;22/10/2020;1;22N;22 NORMAL; $1.272,00 ; $1.144,00 ; $397,00 ;DAMA;5;COYOACAN;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.144,00 ; $397,00 ; $747,00 
41747;1;U001;RELAX UNIVERSE;22/10/2020;1;27N;27 NORMAL; $900,00 ; $900,00 ; $424,00 ;UNISEX;5;COYOACAN;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $900,00 ; $424,00 ; $476,00 
41752;1;C004;MIRIDIA;22/10/2020;1;18M;18 Y MEDIO; $1.153,00 ; $1.153,00 ; $392,00 ;CABALLERO;1;NUEVO SUR;PREMIUM;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.153,00 ; $392,00 ; $761,00 
41770;1;D006;COLORFUL SPRING;22/10/2020;1;25M;25 Y MEDIO; $1.240,00 ; $1.116,00 ; $380,00 ;DAMA;12;ERMITA;POPULAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.116,00 ; $380,00 ; $736,00 
41773;1;D006;COLORFUL SPRING;22/10/2020;1;21M;21 Y MEDIO; $1.333,00 ; $1.239,00 ; $380,00 ;DAMA;19;ANGELOPOLIS;ESTÁNDAR;PUE;PUEBLA;PUEBLA;MÉXICO; $1.239,00 ; $380,00 ; $859,00 
41777;1;S001;RAPTOR;22/10/2020;1;22N;22 NORMAL; $1.524,00 ; $1.524,00 ; $434,00 ;DEPORTIVO;12;ERMITA;POPULAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.524,00 ; $434,00 ; $1.090,00 
41780;1;C004;MIRIDIA;23/10/2020;3;27N;27 NORMAL; $1.153,00 ; $1.153,00 ; $392,00 ;CABALLERO;9;PEDREGAL;PREMIUM;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $3.459,00 ; $1.176,00 ; $2.283,00 
41785;1;S003;ULTRA-ALIVE;23/10/2020;1;22N;22 NORMAL; $1.738,00 ; $1.738,00 ; $388,00 ;DEPORTIVO;19;ANGELOPOLIS;ESTÁNDAR;PUE;PUEBLA;PUEBLA;MÉXICO; $1.738,00 ; $388,00 ; $1.350,00 
41793;1;D001;SPLEND MARNA;23/10/2020;1;26M;26 Y MEDIO; $1.196,00 ; $1.196,00 ; $397,00 ;DAMA;16;TLAQUEPAQUE;POPULAR;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.196,00 ; $397,00 ; $799,00 
41819;1;D001;SPLEND MARNA;23/10/2020;1;22M;22 Y MEDIO; $1.196,00 ; $1.196,00 ; $397,00 ;DAMA;16;TLAQUEPAQUE;POPULAR;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.196,00 ; $397,00 ; $799,00 
41836;1;S002;CITUAN;23/10/2020;3;20M;20 Y MEDIO; $1.862,00 ; $1.862,00 ; $394,00 ;DEPORTIVO;10;IZCALI;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $5.586,00 ; $1.182,00 ; $4.404,00 
41838;1;C003;CONFORT NEW YORK;23/10/2020;1;19M;19 Y MEDIO; $1.681,00 ; $1.681,00 ; $396,00 ;CABALLERO;15;CENTRO MAGNO;ESTÁNDAR;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.681,00 ; $396,00 ; $1.285,00 
41845;1;C004;MIRIDIA;23/10/2020;1;24M;24 Y MEDIO; $1.048,00 ; $1.048,00 ; $392,00 ;CABALLERO;4;PLAZA FIESTA;ESTÁNDAR;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.048,00 ; $392,00 ; $656,00 
41856;1;D002;TANGERINE;23/10/2020;1;24M;24 Y MEDIO; $1.459,00 ; $1.459,00 ; $386,00 ;DAMA;2;CITADEL;ESTÁNDAR;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.459,00 ; $386,00 ; $1.073,00 
41861;1;C001;COMFORT VERONA;23/10/2020;1;19M;19 Y MEDIO; $1.507,00 ; $1.507,00 ; $393,00 ;CABALLERO;10;IZCALI;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.507,00 ; $393,00 ; $1.114,00 
41874;1;C004;MIRIDIA;23/10/2020;1;18M;18 Y MEDIO; $1.153,00 ; $1.153,00 ; $392,00 ;CABALLERO;3;ESFERA;PREMIUM;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.153,00 ; $392,00 ; $761,00 
41883;1;D006;COLORFUL SPRING;23/10/2020;1;23N;23 NORMAL; $1.240,00 ; $1.240,00 ; $380,00 ;DAMA;12;ERMITA;POPULAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.240,00 ; $380,00 ; $860,00 
41885;1;U002;MINIMAL ECHO;24/10/2020;1;26N;26 NORMAL; $1.069,00 ; $1.069,00 ; $460,00 ;UNISEX;2;CITADEL;ESTÁNDAR;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.069,00 ; $460,00 ; $609,00 
41907;1;S003;ULTRA-ALIVE;24/10/2020;1;30M;30 Y MEDIO; $1.738,00 ; $1.738,00 ; $388,00 ;DEPORTIVO;10;IZCALI;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.738,00 ; $388,00 ; $1.350,00 
41908;1;C003;CONFORT NEW YORK;24/10/2020;1;29N;29 NORMAL; $1.866,00 ; $1.754,00 ; $396,00 ;CABALLERO;1;NUEVO SUR;PREMIUM;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.754,00 ; $396,00 ; $1.358,00 
41933;1;C003;CONFORT NEW YORK;24/10/2020;1;30N;30 NORMAL; $1.681,00 ; $1.681,00 ; $396,00 ;CABALLERO;2;CITADEL;ESTÁNDAR;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.681,00 ; $396,00 ; $1.285,00 
41935;1;D004;PANAMA;24/10/2020;1;24M;24 Y MEDIO; $1.448,00 ; $1.448,00 ; $421,00 ;DAMA;17;CRUZ DEL SUR;POPULAR;PUE;PUEBLA;PUEBLA;MÉXICO; $1.448,00 ; $421,00 ; $1.027,00 
41937;1;S003;ULTRA-ALIVE;25/10/2020;1;26M;26 Y MEDIO; $1.529,00 ; $1.529,00 ; $388,00 ;DEPORTIVO;16;TLAQUEPAQUE;POPULAR;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.529,00 ; $388,00 ; $1.141,00 
41949;1;D006;COLORFUL SPRING;25/10/2020;1;22N;22 NORMAL; $1.240,00 ; $1.240,00 ; $380,00 ;DAMA;12;ERMITA;POPULAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.240,00 ; $380,00 ; $860,00 
41952;1;D005;SERENA STORM;25/10/2020;1;18M;18 Y MEDIO; $1.865,00 ; $1.734,00 ; $459,00 ;DAMA;7;UNIVERSIDAD;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.734,00 ; $459,00 ; $1.275,00 
42022;1;C004;MIRIDIA;25/10/2020;1;26M;26 Y MEDIO; $1.048,00 ; $1.048,00 ; $392,00 ;CABALLERO;4;PLAZA FIESTA;ESTÁNDAR;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.048,00 ; $392,00 ; $656,00 
42028;1;U002;MINIMAL ECHO;25/10/2020;4;29M;29 Y MEDIO; $941,00 ; $941,00 ; $460,00 ;UNISEX;12;ERMITA;POPULAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $3.764,00 ; $1.840,00 ; $1.924,00 
42038;1;D005;SERENA STORM;25/10/2020;1;22N;22 NORMAL; $1.865,00 ; $1.865,00 ; $459,00 ;DAMA;19;ANGELOPOLIS;ESTÁNDAR;PUE;PUEBLA;PUEBLA;MÉXICO; $1.865,00 ; $459,00 ; $1.406,00 
42042;1;D004;PANAMA;25/10/2020;1;25M;25 Y MEDIO; $1.830,00 ; $1.830,00 ; $421,00 ;DAMA;6;PERISUR;PREMIUM;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.830,00 ; $421,00 ; $1.409,00 
42092;1;D002;TANGERINE;25/10/2020;1;24M;24 Y MEDIO; $1.678,00 ; $1.678,00 ; $386,00 ;DAMA;9;PEDREGAL;PREMIUM;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.678,00 ; $386,00 ; $1.292,00 
42094;1;S001;RAPTOR;25/10/2020;1;19M;19 Y MEDIO; $1.524,00 ; $1.524,00 ; $434,00 ;DEPORTIVO;11;ARAGON;POPULAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.524,00 ; $434,00 ; $1.090,00 
42100;1;D004;PANAMA;26/10/2020;1;19M;19 Y MEDIO; $1.591,00 ; $1.591,00 ; $421,00 ;DAMA;7;UNIVERSIDAD;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.591,00 ; $421,00 ; $1.170,00 
42107;1;D005;SERENA STORM;26/10/2020;1;21N;21 NORMAL; $2.033,00 ; $2.033,00 ; $459,00 ;DAMA;18;LORETO;PREMIUM;PUE;PUEBLA;PUEBLA;MÉXICO; $2.033,00 ; $459,00 ; $1.574,00 
42107;2;U001;RELAX UNIVERSE;26/10/2020;1;29M;29 Y MEDIO; $1.026,00 ; $1.026,00 ; $424,00 ;UNISEX;18;LORETO;PREMIUM;PUE;PUEBLA;PUEBLA;MÉXICO; $1.026,00 ; $424,00 ; $602,00 
42130;1;U002;MINIMAL ECHO;26/10/2020;1;27N;27 NORMAL; $1.069,00 ; $1.069,00 ; $460,00 ;UNISEX;4;PLAZA FIESTA;ESTÁNDAR;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.069,00 ; $460,00 ; $609,00 
42141;1;D007;REFLEXION EDGE;26/10/2020;1;21M;21 Y MEDIO; $1.128,00 ; $1.128,00 ; $387,00 ;DAMA;6;PERISUR;PREMIUM;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.128,00 ; $387,00 ; $741,00 
42160;1;U002;MINIMAL ECHO;26/10/2020;1;19N;19 NORMAL; $1.069,00 ; $1.069,00 ; $460,00 ;UNISEX;10;IZCALI;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.069,00 ; $460,00 ; $609,00 
42161;1;D007;REFLEXION EDGE;26/10/2020;1;24M;24 Y MEDIO; $1.128,00 ; $1.128,00 ; $387,00 ;DAMA;13;ANDARES;PREMIUM;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.128,00 ; $387,00 ; $741,00 
42170;1;C004;MIRIDIA;26/10/2020;1;29N;29 NORMAL; $1.048,00 ; $1.048,00 ; $392,00 ;CABALLERO;4;PLAZA FIESTA;ESTÁNDAR;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.048,00 ; $392,00 ; $656,00 
42174;1;C004;MIRIDIA;26/10/2020;1;23M;23 Y MEDIO; $1.048,00 ; $964,00 ; $392,00 ;CABALLERO;14;PABELLON;ESTÁNDAR;GDL;GUADALAJARA;JALISCO;MÉXICO; $964,00 ; $392,00 ; $572,00 
42196;1;C004;MIRIDIA;26/10/2020;1;25M;25 Y MEDIO; $1.153,00 ; $1.153,00 ; $392,00 ;CABALLERO;9;PEDREGAL;PREMIUM;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.153,00 ; $392,00 ; $761,00 
42204;1;S001;RAPTOR;26/10/2020;1;19N;19 NORMAL; $1.799,00 ; $1.799,00 ; $434,00 ;DEPORTIVO;9;PEDREGAL;PREMIUM;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.799,00 ; $434,00 ; $1.365,00 
42205;1;D005;SERENA STORM;26/10/2020;1;20N;20 NORMAL; $1.585,00 ; $1.585,00 ; $459,00 ;DAMA;12;ERMITA;POPULAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.585,00 ; $459,00 ; $1.126,00 
42237;1;D002;TANGERINE;27/10/2020;1;25M;25 Y MEDIO; $1.459,00 ; $1.459,00 ; $386,00 ;DAMA;14;PABELLON;ESTÁNDAR;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.459,00 ; $386,00 ; $1.073,00 
42246;1;D004;PANAMA;27/10/2020;1;20M;20 Y MEDIO; $1.448,00 ; $1.448,00 ; $421,00 ;DAMA;16;TLAQUEPAQUE;POPULAR;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.448,00 ; $421,00 ; $1.027,00 
42254;1;S002;CITUAN;27/10/2020;1;19N;19 NORMAL; $1.862,00 ; $1.768,00 ; $394,00 ;DEPORTIVO;14;PABELLON;ESTÁNDAR;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.768,00 ; $394,00 ; $1.374,00 
42261;1;D002;TANGERINE;27/10/2020;1;22N;22 NORMAL; $1.328,00 ; $1.328,00 ; $386,00 ;DAMA;11;ARAGON;POPULAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.328,00 ; $386,00 ; $942,00 
42276;1;D005;SERENA STORM;27/10/2020;1;21M;21 Y MEDIO; $1.585,00 ; $1.585,00 ; $459,00 ;DAMA;12;ERMITA;POPULAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.585,00 ; $459,00 ; $1.126,00 
42278;1;S003;ULTRA-ALIVE;27/10/2020;1;28N;28 NORMAL; $1.738,00 ; $1.738,00 ; $388,00 ;DEPORTIVO;5;COYOACAN;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.738,00 ; $388,00 ; $1.350,00 
42282;1;S001;RAPTOR;27/10/2020;1;30M;30 Y MEDIO; $1.799,00 ; $1.799,00 ; $434,00 ;DEPORTIVO;9;PEDREGAL;PREMIUM;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.799,00 ; $434,00 ; $1.365,00 
42283;1;S001;RAPTOR;28/10/2020;1;25M;25 Y MEDIO; $1.799,00 ; $1.799,00 ; $434,00 ;DEPORTIVO;6;PERISUR;PREMIUM;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.799,00 ; $434,00 ; $1.365,00 
42294;1;D002;TANGERINE;28/10/2020;1;21N;21 NORMAL; $1.678,00 ; $1.678,00 ; $386,00 ;DAMA;9;PEDREGAL;PREMIUM;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.678,00 ; $386,00 ; $1.292,00 
42303;1;D005;SERENA STORM;28/10/2020;1;22N;22 NORMAL; $2.033,00 ; $2.033,00 ; $459,00 ;DAMA;6;PERISUR;PREMIUM;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $2.033,00 ; $459,00 ; $1.574,00 
42307;1;D005;SERENA STORM;28/10/2020;1;26N;26 NORMAL; $1.585,00 ; $1.585,00 ; $459,00 ;DAMA;11;ARAGON;POPULAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.585,00 ; $459,00 ; $1.126,00 
42318;1;C004;MIRIDIA;28/10/2020;1;24M;24 Y MEDIO; $901,00 ; $901,00 ; $392,00 ;CABALLERO;11;ARAGON;POPULAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $901,00 ; $392,00 ; $509,00 
42341;1;D007;REFLEXION EDGE;29/10/2020;1;18N;18 NORMAL; $1.064,00 ; $1.064,00 ; $387,00 ;DAMA;10;IZCALI;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.064,00 ; $387,00 ; $677,00 
42358;1;U001;RELAX UNIVERSE;29/10/2020;1;24M;24 Y MEDIO; $900,00 ; $855,00 ; $424,00 ;UNISEX;8;BUENAVISTA;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $855,00 ; $424,00 ; $431,00 
42377;1;S002;CITUAN;29/10/2020;1;18N;18 NORMAL; $2.030,00 ; $2.030,00 ; $394,00 ;DEPORTIVO;9;PEDREGAL;PREMIUM;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $2.030,00 ; $394,00 ; $1.636,00 
42386;1;S002;CITUAN;29/10/2020;2;29M;29 Y MEDIO; $2.030,00 ; $2.030,00 ; $394,00 ;DEPORTIVO;18;LORETO;PREMIUM;PUE;PUEBLA;PUEBLA;MÉXICO; $4.060,00 ; $788,00 ; $3.272,00 
42392;1;D002;TANGERINE;29/10/2020;1;19M;19 Y MEDIO; $1.328,00 ; $1.328,00 ; $386,00 ;DAMA;11;ARAGON;POPULAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.328,00 ; $386,00 ; $942,00 
42416;1;U002;MINIMAL ECHO;29/10/2020;1;28N;28 NORMAL; $1.069,00 ; $1.069,00 ; $460,00 ;UNISEX;10;IZCALI;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.069,00 ; $460,00 ; $609,00 
42419;1;U001;RELAX UNIVERSE;29/10/2020;1;19N;19 NORMAL; $1.026,00 ; $943,00 ; $424,00 ;UNISEX;6;PERISUR;PREMIUM;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $943,00 ; $424,00 ; $519,00 
42425;1;S001;RAPTOR;30/10/2020;1;30N;30 NORMAL; $1.524,00 ; $1.524,00 ; $434,00 ;DEPORTIVO;16;TLAQUEPAQUE;POPULAR;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.524,00 ; $434,00 ; $1.090,00 
42456;1;S003;ULTRA-ALIVE;30/10/2020;1;28N;28 NORMAL; $1.529,00 ; $1.529,00 ; $388,00 ;DEPORTIVO;16;TLAQUEPAQUE;POPULAR;GDL;GUADALAJARA;JALISCO;MÉXICO; $1.529,00 ; $388,00 ; $1.141,00 
42467;2;D004;PANAMA;30/10/2020;1;19M;19 Y MEDIO; $1.448,00 ; $1.448,00 ; $421,00 ;DAMA;11;ARAGON;POPULAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.448,00 ; $421,00 ; $1.027,00 
42467;1;S003;ULTRA-ALIVE;30/10/2020;1;29M;29 Y MEDIO; $1.529,00 ; $1.529,00 ; $388,00 ;DEPORTIVO;11;ARAGON;POPULAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $1.529,00 ; $388,00 ; $1.141,00 
42473;1;D001;SPLEND MARNA;30/10/2020;1;22M;22 Y MEDIO; $1.361,00 ; $1.361,00 ; $397,00 ;DAMA;1;NUEVO SUR;PREMIUM;MTY;MONTERREY;NUEVO LEÓN;MÉXICO; $1.361,00 ; $397,00 ; $964,00 
42507;1;S003;ULTRA-ALIVE;30/10/2020;3;21N;21 NORMAL; $1.738,00 ; $1.738,00 ; $388,00 ;DEPORTIVO;5;COYOACAN;ESTÁNDAR;CMX;CIUDAD DE MÉXICO;CIUDAD DE MÉXICO;MÉXICO; $5.214,00 ; $1.164,00 ; $4.050,00 
